restaurant_id,date,hour,day_of_week,is_weekend,weather_type,rain_mm,temperature_c,promo_type,event_type,expected_covers,actual_covers,prediction_error
R001,2025-01-01,8,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,7,9,2
R001,2025-01-01,9,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,18,17,-1
R001,2025-01-01,10,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,35,32,-3
R001,2025-01-01,11,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,58,64,6
R001,2025-01-01,12,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,77,78,1
R001,2025-01-01,13,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,85,93,8
R001,2025-01-01,14,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,77,67,-10
R001,2025-01-01,15,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,58,65,7
R001,2025-01-01,16,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,38,33,-5
R001,2025-01-01,17,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,29,28,-1
R001,2025-01-01,18,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,37,34,-3
R001,2025-01-01,19,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,58,57,-1
R001,2025-01-01,20,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,69,65,-4
R001,2025-01-01,21,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,56,53,-3
R001,2025-01-01,22,2,0,Cloudy,2.77,21.1,FestivalOffer,LocalEvent,30,30,0
R001,2025-01-02,8,3,0,Storm,12.98,34.9,FestivalOffer,Festival,5,7,2
R001,2025-01-02,9,3,0,Storm,12.98,34.9,FestivalOffer,Festival,13,14,1
R001,2025-01-02,10,3,0,Storm,12.98,34.9,FestivalOffer,Festival,25,25,0
R001,2025-01-02,11,3,0,Storm,12.98,34.9,FestivalOffer,Festival,40,49,9
R001,2025-01-02,12,3,0,Storm,12.98,34.9,FestivalOffer,Festival,54,51,-3
R001,2025-01-02,13,3,0,Storm,12.98,34.9,FestivalOffer,Festival,60,60,0
R001,2025-01-02,14,3,0,Storm,12.98,34.9,FestivalOffer,Festival,54,54,0
R001,2025-01-02,15,3,0,Storm,12.98,34.9,FestivalOffer,Festival,41,41,0
R001,2025-01-02,16,3,0,Storm,12.98,34.9,FestivalOffer,Festival,27,32,5
R001,2025-01-02,17,3,0,Storm,12.98,34.9,FestivalOffer,Festival,20,20,0
R001,2025-01-02,18,3,0,Storm,12.98,34.9,FestivalOffer,Festival,26,24,-2
R001,2025-01-02,19,3,0,Storm,12.98,34.9,FestivalOffer,Festival,41,34,-7
R001,2025-01-02,20,3,0,Storm,12.98,34.9,FestivalOffer,Festival,48,35,-13
R001,2025-01-02,21,3,0,Storm,12.98,34.9,FestivalOffer,Festival,39,32,-7
R001,2025-01-02,22,3,0,Storm,12.98,34.9,FestivalOffer,Festival,21,22,1
R001,2025-01-03,8,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,8,7,-1
R001,2025-01-03,9,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,18,21,3
R001,2025-01-03,10,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,36,32,-4
R001,2025-01-03,11,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,59,66,7
R001,2025-01-03,12,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,79,97,18
R001,2025-01-03,13,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,87,91,4
R001,2025-01-03,14,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,79,98,19
R001,2025-01-03,15,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,59,66,7
R001,2025-01-03,16,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,39,34,-5
R001,2025-01-03,17,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,29,35,6
R001,2025-01-03,18,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,38,43,5
R001,2025-01-03,19,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,59,55,-4
R001,2025-01-03,20,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,70,75,5
R001,2025-01-03,21,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,57,61,4
R001,2025-01-03,22,4,0,Cloudy,1.84,26.6,WeekendDeal,Festival,31,33,2
R001,2025-01-04,8,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,6,8,2
R001,2025-01-04,9,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,14,18,4
R001,2025-01-04,10,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,27,28,1
R001,2025-01-04,11,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,44,57,13
R001,2025-01-04,12,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,59,64,5
R001,2025-01-04,13,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,65,79,14
R001,2025-01-04,14,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,59,51,-8
R001,2025-01-04,15,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,45,48,3
R001,2025-01-04,16,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,29,35,6
R001,2025-01-04,17,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,22,23,1
R001,2025-01-04,18,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,29,32,3
R001,2025-01-04,19,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,45,39,-6
R001,2025-01-04,20,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,53,55,2
R001,2025-01-04,21,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,43,47,4
R001,2025-01-04,22,5,1,Storm,10.55,30.4,FestivalOffer,LocalEvent,23,24,1
R001,2025-01-05,8,6,1,Rain,34.46,25.2,None,SportsMatch,6,10,4
R001,2025-01-05,9,6,1,Rain,34.46,25.2,None,SportsMatch,14,16,2
R001,2025-01-05,10,6,1,Rain,34.46,25.2,None,SportsMatch,28,25,-3
R001,2025-01-05,11,6,1,Rain,34.46,25.2,None,SportsMatch,46,48,2
R001,2025-01-05,12,6,1,Rain,34.46,25.2,None,SportsMatch,61,55,-6
R001,2025-01-05,13,6,1,Rain,34.46,25.2,None,SportsMatch,68,63,-5
R001,2025-01-05,14,6,1,Rain,34.46,25.2,None,SportsMatch,62,58,-4
R001,2025-01-05,15,6,1,Rain,34.46,25.2,None,SportsMatch,46,50,4
R001,2025-01-05,16,6,1,Rain,34.46,25.2,None,SportsMatch,30,33,3
R001,2025-01-05,17,6,1,Rain,34.46,25.2,None,SportsMatch,23,22,-1
R001,2025-01-05,18,6,1,Rain,34.46,25.2,None,SportsMatch,30,35,5
R001,2025-01-05,19,6,1,Rain,34.46,25.2,None,SportsMatch,46,34,-12
R001,2025-01-05,20,6,1,Rain,34.46,25.2,None,SportsMatch,55,49,-6
R001,2025-01-05,21,6,1,Rain,34.46,25.2,None,SportsMatch,44,47,3
R001,2025-01-05,22,6,1,Rain,34.46,25.2,None,SportsMatch,24,22,-2
