restaurant_id,date,ingredient_id,ingredient_name,shelf_life_days,supplier_lead_time_days,projected_usage_qty,order_qty,waste_qty,stockout_risk
R001,2025-01-01,ING001,Rice,12,3,2.67,2.84,0.83,0.082
R001,2025-01-01,ING002,Chicken,2,2,2.94,3.35,0.15,0.043
R001,2025-01-01,ING003,Paneer,3,4,1.01,3.33,0.09,0.148
R001,2025-01-01,ING004,Onion,5,7,2.07,5.9,0.58,0.196
R001,2025-01-01,ING005,Tomato,4,5,3.66,5.6,1.71,0.234
R001,2025-01-01,ING006,Oil,20,30,0.92,2.81,0.5,0.083
R001,2025-01-01,ING007,Flour,10,15,1.78,3.53,0.49,0.207
R001,2025-01-01,ING008,Bread,8,4,2.64,3.2,0.17,0.027
R001,2025-01-01,ING009,Lettuce,2,3,1.67,2.8,0.5,0.182
R001,2025-01-01,ING010,Cheese,4,5,2.6,3.03,0.3,0.058
R001,2025-01-02,ING001,Rice,12,3,0.85,3.21,0.79,0.098
R001,2025-01-02,ING002,Chicken,2,2,2.21,4.23,0.63,0.213
R001,2025-01-02,ING003,Paneer,3,4,2.15,2.88,1.28,0.062
R001,2025-01-02,ING004,Onion,5,7,4.04,5.71,0.63,0.093
R001,2025-01-02,ING005,Tomato,4,5,2.07,2.48,0.73,0.013
R001,2025-01-02,ING006,Oil,20,30,2.4,2.8,0.7,0.226
R001,2025-01-02,ING007,Flour,10,15,0.01,3.22,0.56,0.161
R001,2025-01-02,ING008,Bread,8,4,1.24,1.78,0.19,0.129
R001,2025-01-02,ING009,Lettuce,2,3,3.89,5.74,0.79,0.16
R001,2025-01-02,ING010,Cheese,4,5,2.12,2.68,0.0,0.104
R001,2025-01-03,ING001,Rice,12,3,2.08,2.1,0.56,0.151
R001,2025-01-03,ING002,Chicken,2,2,0.54,1.49,0.0,0.014
R001,2025-01-03,ING003,Paneer,3,4,3.6,7.32,1.16,0.175
R001,2025-01-03,ING004,Onion,5,7,4.47,4.63,0.46,0.031
R001,2025-01-03,ING005,Tomato,4,5,2.33,5.31,0.82,0.213
R001,2025-01-03,ING006,Oil,20,30,1.59,4.53,0.41,0.068
R001,2025-01-03,ING007,Flour,10,15,3.69,7.61,0.73,0.014
R001,2025-01-03,ING008,Bread,8,4,0.92,1.09,0.12,0.177
R001,2025-01-03,ING009,Lettuce,2,3,3.87,4.24,0.48,0.245
R001,2025-01-03,ING010,Cheese,4,5,1.5,4.63,0.64,0.143
R001,2025-01-04,ING001,Rice,12,3,2.83,6.21,1.1,0.192
R001,2025-01-04,ING002,Chicken,2,2,4.89,6.91,0.94,0.147
R001,2025-01-04,ING003,Paneer,3,4,0.29,1.65,0.0,0.1
R001,2025-01-04,ING004,Onion,5,7,2.34,4.86,0.5,0.085
R001,2025-01-04,ING005,Tomato,4,5,2.95,3.05,0.26,0.112
R001,2025-01-04,ING006,Oil,20,30,2.12,4.52,0.66,0.07
R001,2025-01-04,ING007,Flour,10,15,0.49,3.03,0.02,0.155
R001,2025-01-04,ING008,Bread,8,4,3.71,6.76,1.12,0.18
R001,2025-01-04,ING009,Lettuce,2,3,0.11,3.23,0.16,0.029
R001,2025-01-04,ING010,Cheese,4,5,4.84,6.6,0.74,0.164
R001,2025-01-05,ING001,Rice,12,3,2.39,4.12,0.9,0.39
R001,2025-01-05,ING002,Chicken,2,2,0.68,0.84,0.0,0.166
R001,2025-01-05,ING003,Paneer,3,4,0.55,2.61,0.73,0.163
R001,2025-01-05,ING004,Onion,5,7,0.37,1.91,0.6,0.325
R001,2025-01-05,ING005,Tomato,4,5,0.55,1.76,0.2,0.254
R001,2025-01-05,ING006,Oil,20,30,1.9,2.35,0.04,0.15
R001,2025-01-05,ING007,Flour,10,15,1.6,3.56,0.07,0.258
R001,2025-01-05,ING008,Bread,8,4,1.39,4.76,0.68,0.231
R001,2025-01-05,ING009,Lettuce,2,3,0.0,1.92,0.01,0.207
R001,2025-01-05,ING010,Cheese,4,5,2.34,6.07,0.57,0.265
R001,2025-01-06,ING001,Rice,12,3,0.95,1.77,0.82,0.156
R001,2025-01-06,ING002,Chicken,2,2,4.3,5.81,1.4,0.372
R001,2025-01-06,ING003,Paneer,3,4,1.64,2.91,1.39,0.295
R001,2025-01-06,ING004,Onion,5,7,0.38,2.79,0.31,0.267
R001,2025-01-06,ING005,Tomato,4,5,2.8,4.31,0.73,0.183
R001,2025-01-06,ING006,Oil,20,30,1.94,4.68,0.12,0.389
R001,2025-01-06,ING007,Flour,10,15,0.0,0.4,0.04,0.37
R001,2025-01-06,ING008,Bread,8,4,0.4,1.21,0.0,0.281
R001,2025-01-06,ING009,Lettuce,2,3,0.56,1.6,0.32,0.27
R001,2025-01-06,ING010,Cheese,4,5,2.53,5.14,0.2,0.178
R001,2025-01-07,ING001,Rice,12,3,2.62,6.01,1.09,0.112
R001,2025-01-07,ING002,Chicken,2,2,2.02,5.02,0.93,0.133
R001,2025-01-07,ING003,Paneer,3,4,0.8,2.01,0.74,0.092
R001,2025-01-07,ING004,Onion,5,7,3.49,5.1,0.87,0.18
R001,2025-01-07,ING005,Tomato,4,5,1.7,5.33,1.05,0.162
R001,2025-01-07,ING006,Oil,20,30,0.43,2.06,0.5,0.031
R001,2025-01-07,ING007,Flour,10,15,2.03,4.7,0.59,0.166
R001,2025-01-07,ING008,Bread,8,4,2.09,3.39,0.94,0.195
R001,2025-01-07,ING009,Lettuce,2,3,0.0,0.99,0.0,0.032
R001,2025-01-07,ING010,Cheese,4,5,1.11,1.66,0.44,0.169
R001,2025-01-08,ING001,Rice,12,3,1.71,5.16,0.51,0.135
R001,2025-01-08,ING002,Chicken,2,2,1.05,1.42,0.16,0.184
R001,2025-01-08,ING003,Paneer,3,4,2.17,5.18,0.75,0.188
R001,2025-01-08,ING004,Onion,5,7,4.66,6.13,0.32,0.052
R001,2025-01-08,ING005,Tomato,4,5,2.1,2.58,0.53,0.044
R001,2025-01-08,ING006,Oil,20,30,3.61,6.9,1.09,0.248
R001,2025-01-08,ING007,Flour,10,15,2.49,5.1,0.97,0.098
R001,2025-01-08,ING008,Bread,8,4,2.08,5.98,0.16,0.048
R001,2025-01-08,ING009,Lettuce,2,3,0.3,2.92,0.36,0.184
R001,2025-01-08,ING010,Cheese,4,5,0.6,2.81,1.16,0.178
R001,2025-01-09,ING001,Rice,12,3,2.2,2.35,0.84,0.141
R001,2025-01-09,ING002,Chicken,2,2,1.83,4.81,0.07,0.124
R001,2025-01-09,ING003,Paneer,3,4,3.35,3.38,0.58,0.083
R001,2025-01-09,ING004,Onion,5,7,2.13,3.62,0.79,0.068
R001,2025-01-09,ING005,Tomato,4,5,1.5,4.6,0.05,0.134
R001,2025-01-09,ING006,Oil,20,30,3.43,7.28,0.89,0.047
R001,2025-01-09,ING007,Flour,10,15,0.71,4.22,0.01,0.203
