restaurant_id,date,predicted_covers,actual_covers,correction_reason,model_version
R001,2025-01-01,30,30,Normal noise,v1
R001,2025-01-02,21,22,Promotion misread,v1
R001,2025-01-03,31,33,Staffing issue,v1
R001,2025-01-06,18,11,Staffing issue,v3
R001,2025-01-08,26,26,Promotion misread,v2
R001,2025-01-10,23,31,Promotion misread,v2
R001,2025-01-11,36,31,Normal noise,v1
R001,2025-01-12,23,15,Supplier delay,v3
R001,2025-01-14,22,26,Normal noise,v3
R001,2025-01-15,21,18,Promotion misread,v3
R001,2025-01-16,26,23,Local event,v2
R001,2025-01-17,29,27,Normal noise,v1
R001,2025-01-18,36,48,Local event,v3
R001,2025-01-19,20,19,Promotion misread,v1
R001,2025-01-20,21,23,Normal noise,v1
R001,2025-01-22,18,21,Supplier delay,v1
R001,2025-01-23,17,20,Staffing issue,v3
R001,2025-01-24,29,23,Promotion misread,v3
R001,2025-01-25,20,22,Rain,v2
R001,2025-01-26,27,25,Staffing issue,v3
R001,2025-01-28,24,23,Normal noise,v3
R001,2025-01-29,24,27,Rain,v2
R001,2025-01-30,23,23,Staffing issue,v3
R001,2025-01-31,18,23,Normal noise,v2
R001,2025-02-01,36,36,Local event,v3
R001,2025-02-02,28,29,Rain,v1
R001,2025-02-03,27,27,Rain,v3
R001,2025-02-04,25,21,Staffing issue,v2
R001,2025-02-05,29,27,Normal noise,v3
R001,2025-02-06,20,23,Rain,v1
R001,2025-02-08,31,36,Staffing issue,v2
R001,2025-02-09,28,33,Normal noise,v2
R001,2025-02-10,28,31,Rain,v1
R001,2025-02-12,25,28,Rain,v1
R001,2025-02-13,27,26,Supplier delay,v1
R001,2025-02-14,27,24,Staffing issue,v3
R001,2025-02-15,24,29,Normal noise,v1
R001,2025-02-17,17,19,Promotion misread,v1
R001,2025-02-18,26,27,Normal noise,v1
R001,2025-02-20,27,31,Normal noise,v1
R001,2025-02-23,31,36,Staffing issue,v2
R001,2025-02-25,15,14,Local event,v3
R001,2025-02-26,23,20,Promotion misread,v1
R001,2025-02-27,27,30,Supplier delay,v1
R001,2025-03-02,35,42,Promotion misread,v1
R001,2025-03-03,28,26,Staffing issue,v3
R001,2025-03-04,27,23,Rain,v1
R001,2025-03-05,32,33,Staffing issue,v2
R001,2025-03-06,18,14,Staffing issue,v1
R001,2025-03-08,24,18,Normal noise,v3
R001,2025-03-09,28,28,Rain,v3
R001,2025-03-12,22,21,Normal noise,v2
R001,2025-03-14,15,15,Local event,v3
R001,2025-03-15,23,31,Staffing issue,v3
R001,2025-03-16,30,25,Rain,v1
R001,2025-03-17,19,23,Local event,v1
R001,2025-03-18,16,18,Rain,v3
R001,2025-03-19,21,28,Rain,v3
R001,2025-03-20,23,24,Promotion misread,v1
R001,2025-03-22,22,21,Local event,v1
R001,2025-03-24,29,23,Staffing issue,v1
R001,2025-03-25,26,25,Rain,v1
R001,2025-03-27,17,17,Rain,v1
R001,2025-03-28,25,22,Promotion misread,v3
R001,2025-03-29,33,37,Supplier delay,v3
R001,2025-03-31,28,28,Normal noise,v2
R002,2025-01-01,17,15,Staffing issue,v1
R002,2025-01-02,19,16,Supplier delay,v3
R002,2025-01-03,26,27,Rain,v3
R002,2025-01-05,30,31,Rain,v2
R002,2025-01-06,25,27,Local event,v3
R002,2025-01-07,26,20,Normal noise,v3
R002,2025-01-08,17,12,Supplier delay,v1
R002,2025-01-10,24,28,Staffing issue,v2
R002,2025-01-11,23,25,Promotion misread,v3
R002,2025-01-14,26,30,Promotion misread,v2
R002,2025-01-16,14,14,Local event,v3
R002,2025-01-18,25,30,Staffing issue,v1
R002,2025-01-20,28,24,Local event,v1
R002,2025-01-22,28,33,Normal noise,v3
R002,2025-01-23,26,23,Normal noise,v3
R002,2025-01-24,25,27,Local event,v3
R002,2025-01-27,18,18,Rain,v3
R002,2025-01-29,26,23,Local event,v2
R002,2025-01-31,17,18,Local event,v2
R002,2025-02-02,19,18,Normal noise,v2
R002,2025-02-03,21,19,Local event,v1
R002,2025-02-04,17,18,Normal noise,v3
R002,2025-02-05,24,18,Staffing issue,v1
R002,2025-02-07,26,25,Normal noise,v2
R002,2025-02-08,33,43,Rain,v1
R002,2025-02-10,28,27,Promotion misread,v1
R002,2025-02-13,30,28,Promotion misread,v2
R002,2025-02-14,19,18,Rain,v2
R002,2025-02-15,31,29,Local event,v2
R002,2025-02-16,32,34,Rain,v1
R002,2025-02-17,20,19,Normal noise,v2
R002,2025-02-18,28,31,Rain,v2
R002,2025-02-19,15,16,Staffing issue,v1
R002,2025-02-20,18,18,Normal noise,v3
R002,2025-02-22,26,20,Rain,v3
R002,2025-02-23,30,30,Normal noise,v1
R002,2025-02-25,22,20,Local event,v2
R002,2025-02-27,20,25,Promotion misread,v1
R002,2025-02-28,30,28,Rain,v1
R002,2025-03-01,22,23,Promotion misread,v1
R002,2025-03-03,19,18,Local event,v3
R002,2025-03-06,24,28,Staffing issue,v3
R002,2025-03-10,20,22,Rain,v1
R002,2025-03-11,26,22,Local event,v2
R002,2025-03-12,30,22,Normal noise,v1
R002,2025-03-15,28,26,Staffing issue,v2
R002,2025-03-16,31,29,Supplier delay,v3
R002,2025-03-18,25,28,Staffing issue,v1
R002,2025-03-20,26,24,Rain,v2
R002,2025-03-25,20,15,Promotion misread,v1
R002,2025-03-26,21,18,Promotion misread,v2
R002,2025-03-27,30,27,Supplier delay,v1
R002,2025-03-29,35,31,Normal noise,v1
R002,2025-03-31,28,27,Supplier delay,v3
R003,2025-01-01,36,38,Local event,v3
R003,2025-01-04,60,53,Staffing issue,v1
R003,2025-01-05,46,50,Promotion misread,v2
R003,2025-01-07,50,53,Rain,v3
R003,2025-01-08,51,48,Rain,v3
R003,2025-01-12,42,34,Rain,v1
R003,2025-01-13,58,50,Local event,v3
R003,2025-01-14,47,53,Local event,v3
R003,2025-01-15,54,55,Normal noise,v2
R003,2025-01-16,34,34,Rain,v1
R003,2025-01-17,51,43,Local event,v2
