restaurant_id,date,hour,role,station,staff_required,staff_scheduled,shortage,overtime_hours
R001,2025-01-01,8,FOH,Pass,1,1,0,0.0
R001,2025-01-01,8,Kitchen,Grill,1,1,0,0.0
R001,2025-01-01,8,Cashier,Dining,1,1,0,0.0
R001,2025-01-01,8,Delivery,Prep,1,2,0,1.1675752456106427
R001,2025-01-01,9,FOH,Pass,1,1,0,0.0
R001,2025-01-01,9,Kitchen,Grill,1,1,0,0.0
R001,2025-01-01,9,Cashier,Grill,1,2,0,1.1171432338617258
R001,2025-01-01,9,Delivery,Prep,1,2,0,1.451264598651315
R001,2025-01-01,10,FOH,Prep,2,3,0,0.7043337169137118
R001,2025-01-01,10,Kitchen,Grill,2,2,0,0.0
R001,2025-01-01,10,Cashier,Dining,1,1,0,0.0
R001,2025-01-01,10,Delivery,Dining,1,1,0,0.0
R001,2025-01-01,11,FOH,Pass,4,5,0,1.249017294086756
R001,2025-01-01,11,Kitchen,Dining,4,4,0,0.0
R001,2025-01-01,11,Cashier,Grill,2,1,1,0.0
R001,2025-01-01,11,Delivery,Grill,2,1,1,0.0
R001,2025-01-01,12,FOH,Grill,4,5,0,1.0237432559624633
R001,2025-01-01,12,Kitchen,Dining,5,4,1,0.0
R001,2025-01-01,12,Cashier,Pass,3,4,0,0.011043404626508269
R001,2025-01-01,12,Delivery,Dining,2,1,1,0.0
R001,2025-01-01,13,FOH,Pass,5,5,0,0.0
R001,2025-01-01,13,Kitchen,Dining,6,7,0,0.6883736633075099
R001,2025-01-01,13,Cashier,Grill,3,3,0,0.0
R001,2025-01-01,13,Delivery,Grill,3,3,0,0.0
R001,2025-01-01,14,FOH,Prep,4,4,0,0.0
R001,2025-01-01,14,Kitchen,Dining,4,4,0,0.0
R001,2025-01-01,14,Cashier,Dining,2,2,0,0.0
R001,2025-01-01,14,Delivery,Prep,2,2,0,0.0
R001,2025-01-01,15,FOH,Grill,4,4,0,0.0
R001,2025-01-01,15,Kitchen,Dining,4,3,1,0.0
R001,2025-01-01,15,Cashier,Prep,2,1,1,0.0
R001,2025-01-01,15,Delivery,Dining,2,2,0,0.0
R001,2025-01-01,16,FOH,Pass,2,3,0,0.4403906366500254
R001,2025-01-01,16,Kitchen,Grill,2,1,1,0.0
R001,2025-01-01,16,Cashier,Pass,1,1,0,0.0
R001,2025-01-01,16,Delivery,Grill,1,1,0,0.0
R001,2025-01-01,17,FOH,Prep,2,2,0,0.0
R001,2025-01-01,17,Kitchen,Grill,2,3,0,0.034068109700790716
R001,2025-01-01,17,Cashier,Grill,1,1,0,0.0
R001,2025-01-01,17,Delivery,Prep,1,1,0,0.0
R001,2025-01-01,18,FOH,Grill,2,3,0,0.22846815406975263
R001,2025-01-01,18,Kitchen,Dining,2,2,0,0.0
R001,2025-01-01,18,Cashier,Prep,1,1,0,0.0
R001,2025-01-01,18,Delivery,Prep,1,1,0,0.0
R001,2025-01-01,19,FOH,Prep,3,3,0,0.0
R001,2025-01-01,19,Kitchen,Pass,4,4,0,0.0
R001,2025-01-01,19,Cashier,Pass,2,2,0,0.0
R001,2025-01-01,19,Delivery,Grill,2,3,0,1.0495607007161243
R001,2025-01-01,20,FOH,Prep,4,5,0,1.1681263559486919
R001,2025-01-01,20,Kitchen,Grill,4,5,0,1.0753352837384935
R001,2025-01-01,20,Cashier,Dining,2,3,0,0.40836234276773853
R001,2025-01-01,20,Delivery,Prep,2,2,0,0.0
R001,2025-01-01,21,FOH,Dining,3,2,1,0.0
R001,2025-01-01,21,Kitchen,Grill,4,4,0,0.0
R001,2025-01-01,21,Cashier,Pass,2,3,0,0.26515917440884756
R001,2025-01-01,21,Delivery,Grill,2,2,0,0.0
R001,2025-01-01,22,FOH,Dining,2,2,0,0.0
R001,2025-01-01,22,Kitchen,Prep,2,3,0,0.9409632610536648
R001,2025-01-01,22,Cashier,Grill,1,1,0,0.0
R001,2025-01-01,22,Delivery,Prep,1,1,0,0.0
R001,2025-01-02,8,FOH,Prep,1,1,0,0.0
R001,2025-01-02,8,Kitchen,Grill,1,1,0,0.0
R001,2025-01-02,8,Cashier,Prep,1,2,0,0.7725856938475718
R001,2025-01-02,8,Delivery,Prep,1,2,0,1.404065355073445
